gi|39933080:2131667-2131987.
gi|39933080:2131984-2132394.
gi|39933080:2132407-2132814.
gi|39933080:2132824-2133326.
gi|39933080:2133338-2133931.
gi|39933080:2134093-2134731.
gi|39933080:2136963-2137874.
gi|39933080:2137914-2138366.
gi|39933080:2141169-2145041.
gi|39933080:2128329-2129489.
gi|39933080:2120319-2120996.
gi|39933080:2121168-2122421.
gi|39933080:2118601-2119788.
AF189160.2
M64976.1
gi|6467532:61-1242.
gi|6467532:1428-2618.
gi|6467532:2866-3420.
gi|6467532:3452->3760.
RRC02401.
RRC03805.
RRC03806.
RRC04617.
ORF00001.	ORF02382	ORF00001
ORF00002.	ORF03525	ORF03202	ORF02381	ORF00987	ORF00002	ORF03036	ORF02740	ORF01534
ORF00003.	ORF01535	ORF00003
ORF00004.	ORF01536	ORF00004
ORF00005.	ORF01537	ORF00005
ORF00006.	ORF01538	ORF00006
ORF00007.	ORF01539	ORF00007
ORF00008.	ORF01540	ORF00008
ORF00009.	ORF01541	ORF00009
ORF00010.	ORF01542	ORF00010
ORF00011.	ORF03844	ORF00011
ORF00012.	ORF00012
ORF00013.	ORF00013
ORF00014.	ORF00014
ORF00015.	ORF00015
ORF00016.	ORF00016	ORF03620	ORF00478	ORF02688	ORF01702	ORF01661
ORF00017.	ORF00017
ORF00018.	ORF00018
ORF00019.	ORF00019
ORF00020.	ORF00020
ORF00021.	ORF00021
ORF00022.	ORF00022
ORF00023.	ORF00023
ORF00024.	ORF00024
ORF00025.	ORF00025
ORF00026.	ORF00026
ORF00027.	ORF00027
ORF00028.	ORF00028
ORF00029.	ORF00029
ORF00030.	ORF00030
ORF00031.	ORF00031	ORF00034
ORF00032.	ORF00032
ORF00033.	ORF00033
ORF00034.	ORF00034
ORF00035.	ORF00035
ORF00036.	ORF00036
ORF00037.	ORF00037
ORF00038.	ORF00038
ORF00039.	ORF00039
ORF00040.	ORF00040
ORF00041.	ORF00041
ORF00042.	ORF00042
ORF00043.	ORF00043
ORF00044.	ORF00044
ORF00045.	ORF00045
ORF00046.	ORF00046
ORF00047.	ORF00047
ORF00048.	ORF00048
ORF00049.	ORF00049
ORF00050.	ORF00050
ORF00051.	ORF00051
ORF00052.	ORF00052
ORF00053.	ORF00053
ORF00054.	ORF00054
ORF00055.	ORF00055
ORF00056.	ORF00056
ORF00057.	ORF00057
ORF00058.	ORF00058
ORF00059.	ORF00059
ORF00060.	ORF00060
ORF00061.	ORF00061
ORF00062.	ORF00062
ORF00063.	ORF00063
ORF00064.	ORF00064
ORF00065.	ORF00065
ORF00066.	ORF00066
ORF00067.	ORF00067
ORF00068.	ORF00068
ORF00069.	ORF00069
ORF00070.	ORF00070
ORF00071.	ORF00071
ORF00072.	ORF00072
ORF00073.	ORF00073
ORF00074.	ORF00074
ORF00075.	ORF00075
ORF00076.	ORF00076
ORF00077.	ORF00077
ORF00078.	ORF00078
ORF00079.	ORF00079
ORF00080.	ORF00080
ORF00081.	ORF00081
ORF00082.	ORF00082
ORF00083.	ORF00083
ORF00084.	ORF00084
ORF00085.	ORF00085
ORF00086.	ORF00086
ORF00087.	ORF00087
ORF00088.	ORF00088
ORF00089.	ORF00089
ORF00090.	ORF00090
ORF00091.	ORF00091
ORF00092.	ORF00092
ORF00093.	ORF00093
ORF00094.	ORF00094
ORF00095.	ORF00095
ORF00096.	ORF00096
ORF00097.	ORF00097
ORF00098.	ORF00098
ORF00099.	ORF00099
ORF00100.	ORF00100
ORF00101.	ORF00101
ORF00102.	ORF00102
ORF00103.	ORF00103
ORF00104.	ORF00104
ORF00105.	ORF00105
ORF00106.	ORF00106
ORF00107.	ORF00107
ORF00108.	ORF00108
ORF00109.	ORF00109
ORF00110.	ORF00110
ORF00111.	ORF00111
ORF00112.	ORF00112
ORF00113.	ORF00113
ORF00114.	ORF00114
ORF00115.	ORF00115	ORF00363
ORF00116.	ORF00116
ORF00117.	ORF00117
ORF00118.	ORF00118
ORF00119.	ORF00119
ORF00120.	ORF00120
ORF00121.	ORF00121
ORF00122.	ORF00122
ORF00123.	ORF00123
ORF00124.	ORF00124
ORF00125.	ORF00125
ORF00126.	ORF00126
ORF00127.	ORF00127
ORF00128.	ORF00128
ORF00129.	ORF00129
ORF00130.	ORF00130
ORF00131.	ORF00131
ORF00132.	ORF00132
ORF00133.	ORF00133
ORF00134.	ORF00134
ORF00135.	ORF00135
ORF00136.	ORF00136
ORF00137.	ORF00137
ORF00138.	ORF00138
ORF00139.	ORF00139
ORF00140.	ORF00140
ORF00141.	ORF00141
ORF00142.	ORF00142
ORF00143.	ORF00143
ORF00144.	ORF00144
ORF00145.	ORF00145
